pkg_amount,create_date,status,price,edi,etc_class,firm,account_id,name_as,by_id,name,code,narcotic_class,purchase_standard,base_amount,modify_date,standard_unit
10,2016-11-22 10:51:56.566528+00:00,사용중,2246,644902321,항암제,중외제약,1,5-에프유주 1000mg/20mL,1,중외5-에프유주20mL(플루오로우라실),75-FU2X,0,10V,0,2016-12-04 06:03:35.030648+00:00,VIAL
10,2016-11-22 10:51:56.567725+00:00,사용중,1353,644902301,항암제,중외제약,1,5-에프유주 250mg/5mL,1,중외5-에프유주5mL(플루오로우라실),75-FU1X,0,10V,0,2016-12-04 05:58:16.237756+00:00,VIAL
10,2016-11-22 10:51:56.568869+00:00,사용중,1593,644902311,항암제,중외제약,1,5-에프유주 500mg/10mL,1,중외5-에프유주10mL(플루오로우라실),75-FUX,0,10V,0,2016-12-04 05:58:16.239491+00:00,VIAL
10,2016-11-25 04:56:31.659075+00:00,사용중,0,645100581,수액,대한약품,1,NS 1000ml (병),2,NS 1000ml (병),,0,1000ml 10BTL,0,2016-12-04 05:58:15.944094+00:00,BTL
50,2016-11-22 10:51:56.570025+00:00,사용중,275,645100661,수액,대한약품공업,1,NS 20mL,1,대한생리식염주사액(염화나트륨) 20mL(앰플),AQU10AX,0,50A,0,2016-12-04 05:58:16.836469+00:00,AMP
40,2016-11-22 10:51:56.571272+00:00,사용중,413,645102783,수액,대한약품공업,1,NS 30mL,1,대한생리식염주사액30mL(염화나트륨)(앰플(PP)),NSC30X,0,40A,0,2016-12-04 05:58:16.731889+00:00,AMP
5,2016-12-01 05:55:47.566039+00:00,사용중,0,655500270,백신,에스케이케미칼(주),1,mmr2주 엠엠알,2,mmr2주,,0,5VIAL,0,2016-12-04 06:03:35.257373+00:00,5V
10,2016-11-22 10:51:56.572609+00:00,사용중,0,655500020,백신,한국MSD/SK케미칼,1,가다실프리필드시린지 4가,1,가다실프리필드시린지,9GA,0,10S,0,2016-12-04 05:58:16.217982+00:00,SYR
10,2016-11-22 10:51:56.573666+00:00,사용중,0,655501930,백신,한국MSD/SK케미칼,1,가다실프리필드시린지 9가,1,"가다실 9 프리필드시린지(인유두종바이러스9가 백신, 유전자재조합)",,0,10S,0,2016-12-04 05:58:16.219364+00:00,SYR
500,2016-11-22 10:51:56.465791+00:00,사용중,103,648506410,일반,신풍제약,1,가모시드정 5mg,1,가모시드정5mg,TGAMO,0,5mg/500T,0,2016-12-04 05:58:16.951728+00:00,TAB
200,2016-11-22 10:51:55.813418+00:00,사용중,198,643500010,일반,한미약품,1,가바페닌캡슐 100mg,1,가바페닌캡슐100mg(가바펜틴),CGAVA100,0,100mg/200C,0,2016-12-04 05:58:15.992550+00:00,CAP
200,2016-11-22 10:51:56.201603+00:00,사용중,407,643500020,일반,한미약품,1,가바페닌캡슐 300mg,1,가바페닌캡슐(가바펜틴),CGAVA300,0,300mg/200C,0,2016-12-04 05:58:16.599888+00:00,CAP
10,2016-11-22 10:51:55.963077+00:00,사용중,3123,653400021,일반,동국제약,1,가벡실주 100mg,1,가벡실주사100mg(메실산가백세이트),7GBEX,0,10병,0,2016-12-04 05:58:16.101376+00:00,AMP
28,2016-11-22 10:51:56.131963+00:00,사용중,448,653601350,일반,한국노바티스,1,가브스정 50mg,1,가브스정50mg(빌다글립틴),GAV50,0,28T,0,2016-12-04 05:58:16.504125+00:00,TAB
24,2016-11-22 10:51:55.911794+00:00,사용중,25,650100021,일반,태준제약,1,가소콜액 10mL (포),1,가소콜액(시메치콘) (10mL),,0,10ml/24P,0,2016-12-04 05:58:16.207587+00:00,PACK
1,2016-11-22 10:51:56.360185+00:00,사용중,25,650100023,일반,태준제약,1,가소콜액 500mL (병),1,가소콜액(시메치콘) (500mL),8GC1X,0,500ml,0,2016-12-04 05:58:16.787999+00:00,BTL
100,2016-11-22 10:51:55.827330+00:00,사용중,133,650100030,일반,태준제약,1,가스론엔정 2mg,1,가스론엔정2mg,TGSLN,0,100T,0,2016-12-04 05:58:16.013181+00:00,TAB
30,2016-11-22 10:51:56.574802+00:00,사용중,1281,651903230,일반,명인제약,1,갈란타민서방캡슐 8mg,1,명인갈란타민서방캡슐8mg(갈란타민브롬화수소산염),CGLT,0,30C,0,2016-12-04 05:58:16.624139+00:00,CAP
1,2016-11-22 10:51:56.575945+00:00,사용중,281,642000011,일반,현대약품,1,갈타제산 60g,1,갈타제산 (60g),GGTSX,0,병,0,2016-12-04 05:58:17.076204+00:00,BTL
50,2016-11-22 10:51:56.531091+00:00,사용중,260,648501841,일반,신풍제약,1,겐타마이신주 80mg,1,신풍겐타마이신주80mg,7GMX,0,80mg/50A,0,2016-12-04 05:58:17.031700+00:00,AMP
20,2016-11-22 10:51:56.577208+00:00,사용중,0,647800080,일반,삼진제약,1,겔마현탁액,1,겔마현탁액,SGEMA,0,20P,0,2016-12-04 05:58:16.461627+00:00,PACK
1,2016-11-23 03:09:15.609560+00:00,사용중,0,699600012,백신,한국백신,1,경피용 비씨지 건조 백신,3,경피용 건조 비씨지 백신,,0,1S,0,2016-12-04 05:58:16.388870+00:00,1S
300,2016-11-22 10:51:56.189234+00:00,사용중,431,693900080,일반,셀트리온제약,1,고덱스캡슐,1,고덱스캡슐,CGODX,0,300C,0,2016-12-04 05:58:16.586903+00:00,CAP
1,2016-11-22 10:51:56.578475+00:00,사용중,0,699600010,일반,한스팜,1,교미노틴주,1,교미노틴주20mL,7KYOM,0,20ml/50앰플,0,2016-12-04 05:58:16.452950+00:00,AMP
10,2016-11-22 10:51:56.579633+00:00,사용중,9954,657802283,일반,하나제약,2,구연산펜타닐주사 10mLP,1,하나구연산펜타닐주사 10mL(앰플(P)),7FTN10X,1,10mL/앰플,0,2016-12-04 07:40:53.163564+00:00,AMP
