price,standard_unit,account_id,firm,purchase_standard,edi,invest_class,narcotic_class,base_amount,name,by_id,create_date,code,pkg_amount,status,name_as,modify_date,etc_class
2246,VIAL,1,중외제약,10V,644902321,주사,0,0,5-에프유주 1000mg/20mL,1,2016-11-22 10:51:56.566528+00:00,75-FU2X,10,사용중,5-에프유주 1000mg/20mL,2017-04-29 09:25:06.619726+00:00,항암제
1353,VIAL,1,중외제약,10V,644902301,주사,0,0,5-에프유주 250mg/5mL,1,2016-11-22 10:51:56.567725+00:00,75-FU1X,10,사용중,5-에프유주 250mg/5mL,2017-04-29 09:25:06.639114+00:00,항암제
1593,VIAL,1,중외제약,10V,644902311,주사,0,0,5-에프유주 500mg/10mL,1,2016-11-22 10:51:56.568869+00:00,75-FUX,10,사용중,5-에프유주 500mg/10mL,2017-04-29 09:25:06.653213+00:00,항암제
1595,BTL,1,대한약품,1000ml 10BTL,645100581,,0,0,NS 1000ml (병),2,2016-11-25 04:56:31.659075+00:00,,10,사용중,NS 1000ml (병),2016-12-06 06:21:17.504101+00:00,수액
275,AMP,1,대한약품공업,50A,645100661,주사,0,0,NS 20mL,1,2016-11-22 10:51:56.570025+00:00,AQU10AX,50,사용중,NS 20mL,2017-02-22 23:47:43.747289+00:00,수액
275,AMP,1,대한약품공업,50A,645100661,주사,0,0,NS 20mL,1,2016-11-22 10:51:56.570025+00:00,AQU10AX,50,사용중,NS 20mL,2017-02-22 23:47:43.747289+00:00,수액
275,AMP,1,대한약품공업,50A,645100661,주사,0,0,NS 20mL,1,2016-11-22 10:51:56.570025+00:00,AQU10AX,50,사용중,NS 20mL,2017-02-22 23:47:43.747289+00:00,수액
413,AMP,1,대한약품공업,40A,645102783,주사,0,0,NS 30mL,2,2016-11-22 10:51:56.571272+00:00,NSC30X,40,사용중,NS 30mL,2017-02-22 23:47:35.698829+00:00,수액
11880,VIAL,1,에스케이케미칼(주),5V,655500270,냉장,0,0,mmr2주,2,2016-12-01 05:55:47.566039+00:00,,5,사용중,mmr2주 엠엠알,2017-04-29 09:25:06.665628+00:00,백신
0,SYR,1,한국MSD/SK케미칼,10S,655500020,냉장,0,0,가다실프리필드시린지,1,2016-11-22 10:51:56.572609+00:00,9GA,10,사용중,가다실프리필드시린지 4가,2017-04-29 09:28:30.930529+00:00,백신
0,SYR,1,한국MSD/SK케미칼,10S,655500020,냉장,0,0,가다실프리필드시린지,1,2016-11-22 10:51:56.572609+00:00,9GA,10,사용중,가다실프리필드시린지 4가,2017-04-29 09:28:30.930529+00:00,백신
0,SYR,1,한국MSD/SK케미칼,10S,655500020,냉장,0,0,가다실프리필드시린지,1,2016-11-22 10:51:56.572609+00:00,9GA,10,사용중,가다실프리필드시린지 4가,2017-04-29 09:28:30.930529+00:00,백신
0,SYR,1,한국MSD/SK케미칼,10S,655501930,냉장,0,0,"가다실 9 프리필드시린지(인유두종바이러스9가 백신, 유전자재조합)",1,2016-11-22 10:51:56.573666+00:00,,10,사용중,가다실프리필드시린지 9가,2017-04-29 09:28:30.949388+00:00,백신
0,SYR,1,한국MSD/SK케미칼,10S,655501930,냉장,0,0,"가다실 9 프리필드시린지(인유두종바이러스9가 백신, 유전자재조합)",1,2016-11-22 10:51:56.573666+00:00,,10,사용중,가다실프리필드시린지 9가,2017-04-29 09:28:30.949388+00:00,백신
0,SYR,1,한국MSD/SK케미칼,10S,655501930,냉장,0,0,"가다실 9 프리필드시린지(인유두종바이러스9가 백신, 유전자재조합)",1,2016-11-22 10:51:56.573666+00:00,,10,사용중,가다실프리필드시린지 9가,2017-04-29 09:28:30.949388+00:00,백신
0,SYR,1,한국MSD/SK케미칼,10S,655501930,냉장,0,0,"가다실 9 프리필드시린지(인유두종바이러스9가 백신, 유전자재조합)",1,2016-11-22 10:51:56.573666+00:00,,10,사용중,가다실프리필드시린지 9가,2017-04-29 09:28:30.949388+00:00,백신
0,SYR,1,한국MSD/SK케미칼,10S,655501930,냉장,0,0,"가다실 9 프리필드시린지(인유두종바이러스9가 백신, 유전자재조합)",1,2016-11-22 10:51:56.573666+00:00,,10,사용중,가다실프리필드시린지 9가,2017-04-29 09:28:30.949388+00:00,백신
0,SYR,1,한국MSD/SK케미칼,10S,655501930,냉장,0,0,"가다실 9 프리필드시린지(인유두종바이러스9가 백신, 유전자재조합)",1,2016-11-22 10:51:56.573666+00:00,,10,사용중,가다실프리필드시린지 9가,2017-04-29 09:28:30.949388+00:00,백신
0,SYR,1,한국MSD/SK케미칼,10S,655501930,냉장,0,0,"가다실 9 프리필드시린지(인유두종바이러스9가 백신, 유전자재조합)",1,2016-11-22 10:51:56.573666+00:00,,10,사용중,가다실프리필드시린지 9가,2017-04-29 09:28:30.949388+00:00,백신
103,TAB,1,신풍제약,5mg/500T,648506410,경구,0,0,가모시드정5mg,1,2016-11-22 10:51:56.465791+00:00,TGAMO,500,사용중,가모시드정 5mg,2017-04-29 09:25:06.683654+00:00,일반
198,CAP,1,한미약품,100mg/200C,643500010,경구,0,0,가바페닌캡슐 100mg,1,2016-11-22 10:51:55.813418+00:00,CGAVA100,200,사용중,가바페닌캡슐 100mg,2017-04-29 09:25:06.700665+00:00,일반
407,CAP,1,한미약품,300mg/200C,643500020,경구,0,0,가바페닌캡슐 300mg,1,2016-11-22 10:51:56.201603+00:00,CGAVA300,200,사용중,가바페닌캡슐 300mg,2017-04-29 09:25:06.717924+00:00,일반
3123,AMP,1,동국제약,10병,653400021,주사,0,0,가벡실주사100mg(메실산가백세이트),1,2016-11-22 10:51:55.963077+00:00,7GBEX,10,사용중,가벡실주 100mg,2017-04-29 09:25:06.734806+00:00,일반
448,TAB,1,한국노바티스,28T,653601350,경구,0,0,가브스정50mg(빌다글립틴),1,2016-11-22 10:51:56.131963+00:00,GAV50,28,사용중,가브스정 50mg,2017-04-29 09:25:06.748818+00:00,일반
25,PACK,1,태준제약,10ml/24P,650100021,외용,0,0,가소콜액(시메치콘) (10mL),1,2016-11-22 10:51:55.911794+00:00,,24,사용중,가소콜액 10mL (포),2016-12-06 06:21:17.538103+00:00,일반
25,BTL,1,태준제약,500ml,650100023,경구,0,0,가소콜액(시메치콘) (500mL),1,2016-11-22 10:51:56.360185+00:00,8GC1X,1,사용중,가소콜액 500mL (병),2016-12-06 06:21:17.541103+00:00,일반
133,TAB,1,태준제약,100T,650100030,경구,0,0,가스론엔정2mg,1,2016-11-22 10:51:55.827330+00:00,TGSLN,100,사용중,가스론엔정 2mg,2016-12-06 06:21:17.544103+00:00,일반
1480,BTL,1,바이엘코리아(주),1CTN : 100ML × 1,641100411,,0,0,가스트로그라핀 (100mL),3,2016-12-30 00:38:04.125096+00:00,None,1,사용중,가스트로그라핀 (100mL),2016-12-30 00:38:04.125096+00:00,일반
1281,CAP,1,명인제약,30C,651903230,,0,0,명인갈란타민서방캡슐8mg(갈란타민브롬화수소산염),1,2016-11-22 10:51:56.574802+00:00,CGLT,30,사용중,갈란타민서방캡슐 8mg,2016-12-06 06:21:17.547103+00:00,일반
281,BTL,1,현대약품,병,642000011,경구,0,0,갈타제산 (60g),1,2016-11-22 10:51:56.575945+00:00,GGTSX,1,사용중,갈타제산 60g,2016-12-06 06:21:17.550103+00:00,일반
260,AMP,1,신풍제약,80mg/50A,648501841,주사,0,0,신풍겐타마이신주80mg,1,2016-11-22 10:51:56.531091+00:00,7GMX,50,사용중,겐타마이신주 80mg,2016-12-06 06:21:17.554104+00:00,일반
0,PACK,1,삼진제약,20P,647800080,경구,0,0,겔마현탁액,1,2016-11-22 10:51:56.577208+00:00,SGEMA,20,사용중,겔마현탁액,2016-12-06 06:21:17.557104+00:00,일반
43890,VIAL,1,한국백신,1S,699600012,,0,0,경피용 건조 비씨지 백신,3,2016-11-23 03:09:15.609560+00:00,,1,사용중,경피용 비씨지 건조 백신,2017-04-29 09:25:06.789846+00:00,백신
431,CAP,1,셀트리온제약,300C,693900080,경구,0,0,고덱스캡슐,1,2016-11-22 10:51:56.189234+00:00,CGODX,300,사용중,고덱스캡슐,2016-12-06 06:21:17.564104+00:00,일반
0,AMP,1,한스팜,20ml/50앰플,699600010,주사,0,0,교미노틴주20mL,1,2016-11-22 10:51:56.578475+00:00,7KYOM,1,사용중,교미노틴주,2016-12-06 06:21:17.567104+00:00,일반
9954,AMP,2,하나제약,10ml * 10AMP,657802283,주사,1,0,하나구연산펜타닐주사 10mL(앰플(P)),1,2016-11-22 10:51:56.579633+00:00,7FTN10X,10,사용중,구연산펜타닐주사 10mLP,2016-12-15 02:55:52.620870+00:00,마약
9954,AMP,2,하나제약,10ml * 10AMP,657802283,주사,1,0,하나구연산펜타닐주사 10mL(앰플(P)),1,2016-11-22 10:51:56.579633+00:00,7FTN10X,10,사용중,구연산펜타닐주사 10mLP,2016-12-15 02:55:52.620870+00:00,마약
2071,AMP,2,하나제약,2ml * 10AMP,657802271,해당없음,1,0,하나구연산펜타닐주사 2mL(앰플),1,2016-11-22 10:51:56.580766+00:00,7FTN2X,10,사용중,구연산펜타닐주사 2mL,2016-12-15 02:55:52.634870+00:00,마약
13200,VIAL,1,(주)비씨월드제약,10바이알,653102970,,0,0,구치온주 1200mg,2,2017-03-09 23:49:10.575704+00:00,None,10,사용중,구치온주 1200mg,2017-03-09 23:49:33.858035+00:00,일반
